,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__epsilon,param_model__llambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,2.1570337295532225,0.08393631967316276,0.0004162311553955078,0.0005103948403640309,0.01,0.0,"{'model__epsilon': 0.01, 'model__llambda': 0}",0.978021978021978,0.989010989010989,0.9230769230769231,1.0,0.978021978021978,0.9736263736263737,0.02655614499691113,2
11,2.2808645725250245,0.2021911563754731,0.00039882659912109374,0.0004884612042400369,0.01,0.0001,"{'model__epsilon': 0.01, 'model__llambda': 0.0001}",0.978021978021978,0.978021978021978,0.9230769230769231,1.0,0.989010989010989,0.9736263736263737,0.02655614499691113,2
12,2.073975133895874,0.034063597972911315,0.0,0.0,0.01,0.001,"{'model__epsilon': 0.01, 'model__llambda': 0.001}",0.978021978021978,0.978021978021978,0.9230769230769231,1.0,0.989010989010989,0.9736263736263737,0.02655614499691113,2
13,2.155741548538208,0.10589932351538572,0.0005587577819824219,0.0007904876426496087,0.01,0.01,"{'model__epsilon': 0.01, 'model__llambda': 0.01}",0.978021978021978,0.989010989010989,0.9230769230769231,1.0,1.0,0.9780219780219781,0.028655834748143493,1
14,4.4171501159667965,1.360767588423278,0.001200389862060547,0.0009801283847180702,0.01,0.1,"{'model__epsilon': 0.01, 'model__llambda': 0.1}",0.9120879120879121,0.978021978021978,0.9340659340659341,0.9560439560439561,0.978021978021978,0.9516483516483516,0.025630557779539775,14
15,8.033745718002319,1.014130059745073,0.0016182899475097657,0.00045805672364896994,0.1,0.0,"{'model__epsilon': 0.1, 'model__llambda': 0}",0.967032967032967,0.989010989010989,0.9230769230769231,0.989010989010989,0.989010989010989,0.9714285714285715,0.025630557779539778,5
16,6.891930341720581,2.6491514703797336,0.0014421463012695313,0.0004551762581754649,0.1,0.0001,"{'model__epsilon': 0.1, 'model__llambda': 0.0001}",0.967032967032967,0.967032967032967,0.9230769230769231,0.989010989010989,0.989010989010989,0.9670329670329672,0.024075716813413892,7
17,5.713454723358154,0.6588996742132032,0.001733684539794922,0.0008811286053838654,0.1,0.001,"{'model__epsilon': 0.1, 'model__llambda': 0.001}",0.967032967032967,0.989010989010989,0.9230769230769231,0.989010989010989,0.989010989010989,0.9714285714285715,0.025630557779539778,5
18,5.180661058425903,1.369038906768982,0.0012793540954589844,0.00035919174944429864,0.1,0.01,"{'model__epsilon': 0.1, 'model__llambda': 0.01}",0.967032967032967,0.967032967032967,0.9340659340659341,0.967032967032967,0.967032967032967,0.9604395604395604,0.013186813186813185,11
19,2.1996060371398927,0.1968039757617662,0.00020947456359863282,0.0004189491271972657,0.1,0.1,"{'model__epsilon': 0.1, 'model__llambda': 0.1}",0.9340659340659341,0.978021978021978,0.9230769230769231,0.989010989010989,0.989010989010989,0.9626373626373625,0.028316700498296973,8
